Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,Experience,Experience 1,Experience 2,Experience 3,Experience 4,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,,,,,,,,,
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,"Combat, medical care",Police,Health Care,Plant Experience,,Blairsville,Georgia,United States,56,Victor,Won,Won,Saw,Axe,Sleeping bag,Pot,Ferro rod,Canteen,Fishing line and hooks,Gill net,Snare wire,Knife,,,,,,,,,
1,1,2,"Quatsino, British Columbia, Canada",Sam Larson,22,Male,Yes,Yes,Heavy,"Bushcrafting, solo camping",Solo Trips,Bushcrafting,Survival School,,Lincoln,Nebraska,United States,55,Lost the mind game / Pregnant wife,Lonely,Mental,Saw,Axe,Pot,Ferro rod,Multitool,Food ration,Food ration,Sleeping bag,Paracord,Snare wire,,,,,,,,,
2,1,3,"Quatsino, British Columbia, Canada",Mitch Mitchell,34,Male,Yes,Yes,Medium,"Bushcrafting, solo camping",Bushcrafting,Solo Trips,Boy Scout,,Bellingham,Massachusetts,United States,43,Dying mother,Lonely,Mental,Axe,Sleeping bag,Bivy bag,Pot,Ferro rod,Fishing line and hooks,Gill net,Bow and arrows,Knife,Sharpening stone,,,,,,,,,
3,1,4,"Quatsino, British Columbia, Canada",Lucas Miller,32,Male,Yes,No,Light,"Homesteading, healthy living",Rural Living,Plant Experience,,,Quasqueton,Iowa,United States,39,Felt content with what he had done,Content,Mental,Tarp,Saw,Axe,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Tarp,Food ration,Knife,,,,,,,,,
4,1,5,"Quatsino, British Columbia, Canada",Dustin Feher,37,Male,Yes,No,Medium,"Outdoorsman, solo trips",Solo Trips,,,,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Paracord,Axe,Sleeping bag,Pot,Ferro rod,Canteen,Fishing line and hooks,Gill net,Slingshot,Knife,,,,,,,,,
5,1,6,"Quatsino, British Columbia, Canada",Brant McGee,44,Male,Yes,Yes,Heavy,"Coast Guard, Arctic Circle",Military,Cold Weather,,,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Tarp,Paracord,Axe,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Bow and arrows,Food ration,Knife,,,,,,,,,
6,1,7,"Quatsino, British Columbia, Canada",Wayne Russell,46,Male,Yes,Yes,Medium,Solo camping,Solo Trips,Plant Experience,Hunter,,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Tarp,Paracord,Saw,Axe,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Knife,Multitool,,,,,,,,,
7,1,8,"Quatsino, British Columbia, Canada",Joe Robinet,24,Male,Yes,Yes,Light,Cold solo camping,Solo Trips,Cold Weather,Plant Experience,Bushcrafting,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Tarp,Paracord,Axe,Sleeping bag,Pot,Ferro rod,Fishing line and hooks,Gill net,Food ration,Knife,,,,,,,,,
8,1,9,"Quatsino, British Columbia, Canada",Chris Weatherman,41,Male,Yes,Yes,Heavy,"Bushcrafting, Hunter",Bushcrafting,Hunter,Plant Experience,,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Saw,Axe,Sleeping bag,Ferro rod,Pot,Canteen,Fishing line and hooks,Bow and arrows,Knife,Sharpening stone,,,,,,,,,
9,1,10,"Quatsino, British Columbia, Canada",Josh Chavez,31,Male,Yes,Yes,Heavy,"Police, hunter",Police,Hunter,Survival School,,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Tarp,Paracord,Saw,Axe,Sleeping bag,Bivy bag,Pot,Ferro rod,Fishing line and hooks,Bow and arrows,,,,,,,,,
