Contestant Key,Season,Position,Name,Age,Sex,Partner,Kids,Weight,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Experience
0,1,1,Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Health Care
0,1,1,Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Police
0,1,1,Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Plant Experience
1,1,2,Sam Larson,22,Male,Yes,Yes,Heavy,Lincoln,Nebraska,United States,55,Lost the mind game / Pregnant wife,Lonely,Mental,Bushcrafting
1,1,2,Sam Larson,22,Male,Yes,Yes,Heavy,Lincoln,Nebraska,United States,55,Lost the mind game / Pregnant wife,Lonely,Mental,Solo Trips
1,1,2,Sam Larson,22,Male,Yes,Yes,Heavy,Lincoln,Nebraska,United States,55,Lost the mind game / Pregnant wife,Lonely,Mental,Survival School
2,1,3,Mitch Mitchell,34,Male,Yes,Yes,Medium,Bellingham,Massachusetts,United States,43,Dying mother,Lonely,Mental,Bushcrafting
2,1,3,Mitch Mitchell,34,Male,Yes,Yes,Medium,Bellingham,Massachusetts,United States,43,Dying mother,Lonely,Mental,Solo Trips
2,1,3,Mitch Mitchell,34,Male,Yes,Yes,Medium,Bellingham,Massachusetts,United States,43,Dying mother,Lonely,Mental,Boy Scout
3,1,4,Lucas Miller,32,Male,Yes,No,Light,Quasqueton,Iowa,United States,39,Felt content with what he had done,Content,Mental,Plant Experience
3,1,4,Lucas Miller,32,Male,Yes,No,Light,Quasqueton,Iowa,United States,39,Felt content with what he had done,Content,Mental,Rural Living
4,1,5,Dustin Feher,37,Male,Yes,No,Medium,Pittsburgh,Pennsylvania,United States,8,Fear of storm,Fear,Mental,Solo Trips
5,1,6,Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Military
5,1,6,Brant McGee,44,Male,Yes,Yes,Heavy,Albemarle,North Carolina,United States,6,Consuming salt water,Illness,Inexperience,Cold Weather
6,1,7,Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Hunter
6,1,7,Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Solo Trips
6,1,7,Wayne Russell,46,Male,Yes,Yes,Medium,Saint John,New Brunswick,Canada,4,Fear of bears,Fear,Mental,Plant Experience
7,1,8,Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Solo Trips
7,1,8,Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Cold Weather
7,1,8,Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Plant Experience
7,1,8,Joe Robinet,24,Male,Yes,Yes,Light,Windsor,Ontario,Canada,4,Loss of ferro rod,Lack of Fire,Inexperience,Bushcrafting
8,1,9,Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Bushcrafting
8,1,9,Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Hunter
8,1,9,Chris Weatherman,41,Male,Yes,Yes,Heavy,Umatilla,Florida,United States,1.5,Fear of wolves,Fear,Mental,Plant Experience
9,1,10,Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Hunter
9,1,10,Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Police
9,1,10,Josh Chavez,31,Male,Yes,Yes,Heavy,Jackson,Ohio,United States,0.5,Fear of bears,Fear,Mental,Survival School
10,2,1,David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Survival School
10,2,1,David McIntyre,50,Male,No,Yes,Heavy,Kentwood,Michigan,United States,66,Victor,Won,Won,Bushcrafting
11,2,2,Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Survival School
11,2,2,Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Bushcrafting
11,2,2,Larry Roberts,44,Male,Yes,Yes,Medium,Rush City,Minnesota,United States,64,Hunger and mental breakdown,Food,Environment,Hunter
12,2,3,Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Hypothermia,Mistake,Rural Living
12,2,3,Jose Martinez Amoedo,45,Male,Yes,Yes,Light,Santa Pola,Valencia,Spain,59,Fell off kayak into river,Hypothermia,Mistake,Military
13,2,4,Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Plant Experience
13,2,4,Nicole Apelian,45,Female,Yes,Yes,Light,Portland,Oregon,United States,57,Missed her kids,Lonely,Mental,Survival School
14,2,5,Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Military
14,2,5,Justin Vititoe,35,Male,No,No,Medium,Augusta,Georgia,United States,35,Had nothing left to accomplish,Content,Mental,Survival School
15,2,6,Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Survival School
15,2,6,Randy Champagne,28,Male,No,No,Light,Boulder,Utah,United States,21,Didn't like being alone,Lonely,Mental,Hunter
16,2,7,Mike Lowe,55,Male,No,No,Light,Lewis,Colorado,United States,21,Missed his wife,Lonely,Mental,Survival School
16,2,7,Mike Lowe,55,Male,No,No,Light,Lewis,Colorado,United States,21,Missed his wife,Lonely,Mental,Military
17,2,8,Tracy Wilson,44,Female,No,Yes,Heavy,Aiken,South Carolina,United States,8,Didn't want to hurt a bear/cub,Fear,Mental,Military
17,2,8,Tracy Wilson,44,Female,No,Yes,Heavy,Aiken,South Carolina,United States,8,Didn't want to hurt a bear/cub,Fear,Mental,Bushcrafting
17,2,8,Tracy Wilson,44,Female,No,Yes,Heavy,Aiken,South Carolina,United States,8,Didn't want to hurt a bear/cub,Fear,Mental,Police
18,2,9,Mary Kate Green,36,Female,No,Yes,Light,Homer,Alaska,United States,7,Split tendon with axe,Injury,Mistake,Firefighter
19,2,10,Desmond White,37,Male,No,No,Medium,Coolidge,Arizona,United States,0.25,Bear scare,Fear,Mental,Military
19,2,10,Desmond White,37,Male,No,No,Medium,Coolidge,Arizona,United States,0.25,Bear scare,Fear,Mental,Boy Scout
20,3,1,Zachary Fowler,36,Male,Yes,Yes,Medium,Appleton,Maine,United States,87,Victor,Won,Won,Bushcrafting
20,3,1,Zachary Fowler,36,Male,Yes,Yes,Medium,Appleton,Maine,United States,87,Victor,Won,Won,Rural Living
21,3,2,Carleigh Fairchild,28,Female,No,No,Light,Edna Bay,Alaska,United States,86,BMI too low,Food,Environment,Survival School
21,3,2,Carleigh Fairchild,28,Female,No,No,Light,Edna Bay,Alaska,United States,86,BMI too low,Food,Environment,Plant Experience
21,3,2,Carleigh Fairchild,28,Female,No,No,Light,Edna Bay,Alaska,United States,86,BMI too low,Food,Environment,Rural Living
22,3,3,Megan Hanacek,41,Female,Yes,Yes,Light,Port McNeill,British Columbia,Canada,78,"2 broken teeth(molars), jaw pain",Injury,Mistake,Plant Experience
