Contestant Key,Season,Position,Location,Name,Age,Sex,Partner,Kids,Weight,City,State/Province,Country,Duration,Reason for leaving,Reason1,Reason2,Items
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Saw
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Sleeping bag
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Pot
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Ferro rod
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Canteen
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Axe
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Fishing line and hooks
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Gill net
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Snare wire
0,1,1,"Quatsino, British Columbia, Canada",Alan Kay,40,Male,Yes,Yes,Heavy,Blairsville,Georgia,United States,56,Victor,Won,Won,Knife
1,1,2,"Quatsino, British Columbia, Canada",Sam Larson,22,Male,Yes,Yes,Heavy,Lincoln,Nebraska,United States,55,Lost the mind game / Pregnant wife,Lonely,Mental,Saw
